project,file,commit_insert,commit_date,lineno_guess,code_snippet
astropy_astropy,astropy/coordinates/angles/formats.py,124b0803b225284a6558dfc32cc6ab68d603203d,2024-10-18T16:59:07+02:00,218,"                    | UINT COLON UINT COLON ufloat
            """"""
            match p[1:]:
                case [p1]:
                    p[0] = p1
                case [p1, p2] | [p1, "":"", p2]:
                    p[0] = (p1, p2)
                case [p1, p2, p3] | [p1, _, p2, _, p3]:
                    p[0] = (p1, p2, p3)
"
astropy_astropy,astropy/units/format/ogip.py,89eaa1178c468c83a613898baa94eb848f3fba07,2024-09-27T18:18:43+02:00,236,"                     | FUNCNAME OPEN_PAREN complete_expression CLOSE_PAREN power numeric_power
            """"""
            match list(p):
                case [_, ""sqrt"", _, unit, _]:
                    p[0] = unit**0.5
                case [_, ""sqrt"", _, unit, _, _, numeric_power]:
                    p[0] = unit ** (0.5 * numeric_power)
                case [_, func, *_]:
                    raise ValueError(
                        f""The function '{func}' is valid in OGIP, but not understood """
astropy_astropy,astropy/units/quantity_helper/function_helpers.py,10da0ee06e7451d02d3e64bf0d7a36536f947da4,2024-09-28T08:52:10-04:00,463,"    # following the (complex) logic of np.arange
    assert len(args) <= 4
    match args:
        case pos1,:
            assert stop is None or start is None
            if stop is None:
                stop = pos1
            elif start is None:
                start = pos1
        case start, stop, *rest:"
beetbox_beets,beetsplug/substitute.py,913d51af5cce3702a5ba0e04c41069f644a9fbfb,2024-10-05T15:51:41+02:00,55,"        self.template_funcs[""substitute""] = self.tmpl_substitute

        match self.config.get():
            case list():
                pairs = self.config.as_pairs()
            case dict():
                pairs = [
                    (key, view.as_str()) for key, view in self.config.items()
                ]
                self._log.warning("
bruvellu_cifonauta,meta/views.py,01e54e9c358bc047dcbc4fca974d0aae1429726a,2024-03-16T00:56:05-03:00,77,"            taxon_update = TaxonUpdater(taxon_name)
        Taxon.objects.rebuild()
        match taxon_update.status:
            case 'accepted':
                curadory, _ = Curadoria.objects.get_or_create(name='Todos os Táxons')
                curadory.taxons.add(taxon_update.taxon)
            case 'invalid':
                curadory, _ = Curadoria.objects.get_or_create(name='Todos os Táxons')
                curadory.taxons.add(taxon_update.taxon)
            case 'not_exist':"
ceph_teuthology,teuthology/util/time.py,1a958e39fb781141d24125bc2e7555df8f53a910,2024-08-07T18:05:15-06:00,17,"    err_msg = ""Offsets must either be an ISO 8601-formatted timestamp or "" \
        f""a relative value like '2w', '1d', '7h', '45m', '90s'. Got: {offset}""
    match = re.match(r'(\d+)(s|m|h|d|w)$', offset)
    if match is None:
        raise ValueError(err_msg)
    num = int(match.groups()[0])
    unit = match.groups()[1]
    match unit:
        case 's':
            return timedelta(seconds=num)"
cython_cython,tests/run/test_patma.py,12ac748fe70b1e8140ae5d3536223935da27155e,2024-02-14T20:08:53+00:00,35,"        y: int
else:
    # predates dataclasses with match args
    class Point:
        __match_args__ = (""x"", ""y"")
        x: int
        y: int

# TestCompiler removed - it's very CPython-specific
"""""""
frappe_frappe,frappe/api.py,98dd7b0616692f2af2273da31c6e9c3d95ae89fd,2022-10-12T15:18:39+05:30,67,"		Note: most methods of this class directly operate on the response local.
		""""""
		match self.call:
			case ""method"":
				return self.handle_method()
			case ""resource"":
				self.handle_resource()
			case _:
				raise frappe.DoesNotExistError
"
frappe_frappe,frappe/commands/scheduler.py,6b84c9ccf5fc3c389223f37cf4fb1865be430448,2023-02-10T14:38:50+05:30,88,"
	with frappe.init_site(site=site):
		match state:
			case ""status"":
				frappe.connect()
				status = ""disabled"" if frappe.utils.scheduler.is_scheduler_inactive(verbose=verbose) else ""enabled""
				return print(output[format].format(status=status, site=site))
			case ""pause"" | ""resume"":
				update_site_config(""pause_scheduler"", state == ""pause"")
			case ""enable"" | ""disable"":"
frappe_frappe,frappe/desk/form/load.py,d20e436e0f49659a2ad3cb512c8386ac07884731,2023-09-18T11:16:20+05:30,156,"
	for c in comments:
		match c.comment_type:
			case ""Comment"":
				c.content = frappe.utils.markdown(c.content)
				docinfo.comments.append(c)
			case ""Shared"" | ""Unshared"":
				docinfo.shared.append(c)
			case ""Assignment Completed"" | ""Assigned"":
				docinfo.assignment_logs.append(c)"
