"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3984984","sosreport/sos",false,"4864","40","33","542","Python","main","GNU General Public License v2.0","http://sos.rtfd.org","43","511","301","20141","2011-07-11T04:58:15","2024-11-07T05:25:08","2024-11-07T05:25:12","1105","67","2710","46","12485","40553","15860","[{""language"":""Diff"",""blankLines"":1,""codeLines"":3,""commentLines"":7},{""language"":""JSON"",""blankLines"":0,""codeLines"":2,""commentLines"":0},{""language"":""Bourne Shell"",""blankLines"":31,""codeLines"":249,""commentLines"":37},{""language"":""PO File"",""blankLines"":2343,""codeLines"":6711,""commentLines"":2730},{""language"":""make"",""blankLines"":4,""codeLines"":9,""commentLines"":2},{""language"":""Text"",""blankLines"":9,""codeLines"":32,""commentLines"":0},{""language"":""YAML"",""blankLines"":50,""codeLines"":665,""commentLines"":28},{""language"":""reStructuredText"",""blankLines"":46,""codeLines"":57,""commentLines"":48},{""language"":""Markdown"",""blankLines"":57,""codeLines"":120,""commentLines"":0},{""language"":""Python"",""blankLines"":9934,""codeLines"":32646,""commentLines"":13008},{""language"":""INI"",""blankLines"":10,""codeLines"":59,""commentLines"":0}]","2024-11-07T05:25:08","44fae1638b750f0f1f00c9a614351082b611b8f8",true,false,false,false,"{""Python"":1992542,""Shell"":2262}","ack (ready for merge);affects ubuntu;changes needed;enhancement;feature request;good first issue;needs second ack;patch formatting;quick change;release note;rh qe;security",""
"3984988","enthought/traits",false,"3361","8","18","85","Python","main","Other",,"66","434","60","54850","2011-01-28T04:46:40","2024-10-07T08:29:32","2024-10-08T09:57:47","718","226","1082","5","18293","46464","19679","[{""language"":""DOS Batch"",""blankLines"":29,""codeLines"":212,""commentLines"":1},{""language"":""make"",""blankLines"":18,""codeLines"":89,""commentLines"":4},{""language"":""YAML"",""blankLines"":43,""codeLines"":241,""commentLines"":14},{""language"":""reStructuredText"",""blankLines"":2250,""codeLines"":5522,""commentLines"":1256},{""language"":""Markdown"",""blankLines"":0,""codeLines"":5,""commentLines"":0},{""language"":""TOML"",""blankLines"":5,""codeLines"":16,""commentLines"":0},{""language"":""Text"",""blankLines"":39,""codeLines"":343,""commentLines"":0},{""language"":""C"",""blankLines"":817,""codeLines"":4243,""commentLines"":826},{""language"":""HTML"",""blankLines"":2,""codeLines"":38,""commentLines"":0},{""language"":""Python"",""blankLines"":14924,""codeLines"":35027,""commentLines"":17560},{""language"":""CSS"",""blankLines"":166,""codeLines"":728,""commentLines"":18}]","2024-09-27T01:39:24","10954ebdccac9a1131e6cb978f75c00c3323fb63",true,false,false,false,"{""Python"":1991697,""C"":186961,""CSS"":808}","component: build;component: core;component: documentation;component: examples;component: test suite;component: trait-documenter;component: typing stubs;dependencies;easy;good first issue;needs traitsui 7.0;porting: backported to 6.1;porting: backported to 6.2;porting: backported to 6.3;porting: needs backport to 6.4;priority: blocking;priority: high;priority: low;resolution: done;resolution: duplicate;resolution: not a bug;resolution: out of date;resolution: rejected;resolution: third party;resolution: won't fix;topic: cython port;topic: hastraits initialization;topic: on_trait_change performance;topic: traits listener rework;type: bug;type: cleanup;type: discussion;type: enhancement;type: performance;type: refactor","attributes;dataclasses;gui;observer-pattern;python;runtime-typechecking;types"
"3985018","prody/prody",false,"9326","1","13","157","Python","main","Other","http://prody.csb.pitt.edu","25","433","49","133139","2010-10-31T03:57:43","2024-10-30T11:59:44","2024-10-30T11:59:49","693","63","1268","27","24406","96773","20608","[{""language"":""JSON"",""blankLines"":0,""codeLines"":1,""commentLines"":0},{""language"":""DOS Batch"",""blankLines"":0,""codeLines"":16,""commentLines"":0},{""language"":""Fortran 77"",""blankLines"":0,""codeLines"":6594,""commentLines"":2901},{""language"":""make"",""blankLines"":18,""codeLines"":56,""commentLines"":2},{""language"":""YAML"",""blankLines"":5,""codeLines"":33,""commentLines"":4},{""language"":""Lex"",""blankLines"":24,""codeLines"":195,""commentLines"":0},{""language"":""C/C++ Header"",""blankLines"":1847,""codeLines"":6925,""commentLines"":1311},{""language"":""TOML"",""blankLines"":0,""codeLines"":2,""commentLines"":0},{""language"":""C++"",""blankLines"":229,""codeLines"":862,""commentLines"":298},{""language"":""Text"",""blankLines"":13,""codeLines"":881,""commentLines"":0},{""language"":""JavaScript"",""blankLines"":95,""codeLines"":734,""commentLines"":177},{""language"":""XML"",""blankLines"":2,""codeLines"":1728,""commentLines"":0},{""language"":""Markdown"",""blankLines"":64,""codeLines"":110,""commentLines"":0},{""language"":""SVG"",""blankLines"":2,""codeLines"":5683,""commentLines"":2},{""language"":""reStructuredText"",""blankLines"":2355,""codeLines"":4302,""commentLines"":783},{""language"":""C"",""blankLines"":2484,""codeLines"":14732,""commentLines"":2562},{""language"":""HTML"",""blankLines"":52,""codeLines"":562,""commentLines"":4},{""language"":""Python"",""blankLines"":17055,""codeLines"":52573,""commentLines"":12520},{""language"":""CSS"",""blankLines"":161,""codeLines"":784,""commentLines"":44}]","2024-10-30T11:59:44","c49a2b2a97601ca2ab3f83af954a4d39beead146",true,false,false,false,"{""Python"":2855582,""C"":571675,""Fortran"":305467,""C++"":292041,""Lex"":7402,""Roff"":7402,""Makefile"":804,""Batchfile"":515}","archived;bug;enhancement;feature request","dynamics;protein;python"
"3985027","plone/products.cmfplone",false,"6287","71","0","191","Python","master","GNU General Public License v2.0","https://plone.org","172","254","169","130725","2011-09-25T01:41:32","2024-11-08T06:49:34","2024-11-08T02:46:57","2573","491","1475","17","13894","59486","4810","[{""language"":""TOML"",""blankLines"":10,""codeLines"":76,""commentLines"":7},{""language"":""SVG"",""blankLines"":0,""codeLines"":23,""commentLines"":1},{""language"":""Python"",""blankLines"":6396,""codeLines"":28719,""commentLines"":4316},{""language"":""CSS"",""blankLines"":0,""codeLines"":12,""commentLines"":0},{""language"":""INI"",""blankLines"":13,""codeLines"":101,""commentLines"":0},{""language"":""Cucumber"",""blankLines"":1,""codeLines"":5,""commentLines"":0},{""language"":""Text"",""blankLines"":339,""codeLines"":1016,""commentLines"":0},{""language"":""HTML"",""blankLines"":0,""codeLines"":4,""commentLines"":0},{""language"":""XML"",""blankLines"":1510,""codeLines"":13464,""commentLines"":90},{""language"":""reStructuredText"",""blankLines"":4381,""codeLines"":12676,""commentLines"":36},{""language"":""Jinja Template"",""blankLines"":5,""codeLines"":10,""commentLines"":0},{""language"":""RobotFramework"",""blankLines"":868,""codeLines"":2399,""commentLines"":317},{""language"":""JavaScript"",""blankLines"":1,""codeLines"":25,""commentLines"":1},{""language"":""YAML"",""blankLines"":1,""codeLines"":35,""commentLines"":2},{""language"":""Markdown"",""blankLines"":369,""codeLines"":921,""commentLines"":40}]","2024-11-08T02:46:52","cc765117de2b3b60cea9d0a5d58ce9ffa7a6d82c",false,false,false,false,"{""Python"":1487145,""RobotFramework"":130167,""Roff"":825,""JavaScript"":534,""Gherkin"":291,""CSS"":187,""HTML"":43}","01 type: bug;02 type: regression;03 type: feature (plip);04 type: enhancement;05 type: question;11 prio: blocker;12 prio: high;13 prio: normal;14 prio: low;21 status: confirmed;22 status: in-progress;23 status: testing;24 status: ready;25 status: deferred;31 needs: help;32 needs: review;33 needs: docs;34 needs: tests;35 needs: rebase;36 needs: cla;37 needs: release;41 lvl: easy;42 lvl: moderate;43 lvl: complex;51 target: patch;52 target: minor;53 target: major;99 hacktoberfest-accepted;99 tag: bssp;99 tag: cleanup;99 tag: dependencies;99 tag: documentation;99 tag: migration;99 tag: need an implementer;99 tag: plip 13260: remove cmf;99 tag: plip 3211 es6;99 tag: plone 5.2;99 tag: plone 6.0;99 tag: resource registry;99 tag: sprint;99 tag: ux accessibility;99 tag: ux editor;99 tag: ux integrator/themer;99 tag: ux site admin","hacktoberfest"
"3985711","camptocamp/c2cgeoportal",false,"19140","36","69","46","Python","master","Other","http://geomapfish.org","26","64","45","385877","2011-12-07T01:42:59","2024-11-09T08:05:43","2024-11-08T07:31:22","1032","5","10482","10","13684","69863","12861","[{""language"":""Properties"",""blankLines"":0,""codeLines"":10,""commentLines"":0},{""language"":""YAML"",""blankLines"":552,""codeLines"":10014,""commentLines"":466},{""language"":""Markdown"",""blankLines"":96,""codeLines"":191,""commentLines"":0},{""language"":""Bourne Shell"",""blankLines"":1,""codeLines"":7,""commentLines"":3},{""language"":""reStructuredText"",""blankLines"":2784,""codeLines"":3618,""commentLines"":2761},{""language"":""make"",""blankLines"":115,""codeLines"":557,""commentLines"":12},{""language"":""Bazel"",""blankLines"":1,""codeLines"":2,""commentLines"":0},{""language"":""Jinja Template"",""blankLines"":61,""codeLines"":442,""commentLines"":197},{""language"":""XML"",""blankLines"":167,""codeLines"":2840,""commentLines"":13},{""language"":""JavaScript"",""blankLines"":26,""codeLines"":177,""commentLines"":13},{""language"":""SQL"",""blankLines"":29,""codeLines"":297,""commentLines"":13},{""language"":""SVG"",""blankLines"":1,""codeLines"":91,""commentLines"":1},{""language"":""PO File"",""blankLines"":4,""codeLines"":40,""commentLines"":12},{""language"":""Text"",""blankLines"":54,""codeLines"":424,""commentLines"":0},{""language"":""Python"",""blankLines"":9404,""codeLines"":35410,""commentLines"":9039},{""language"":""CSS"",""blankLines"":23,""codeLines"":210,""commentLines"":71},{""language"":""INI"",""blankLines"":106,""codeLines"":419,""commentLines"":0},{""language"":""HTML"",""blankLines"":0,""codeLines"":164,""commentLines"":0},{""language"":""JSON"",""blankLines"":0,""codeLines"":13632,""commentLines"":0},{""language"":""Bourne Again Shell"",""blankLines"":89,""codeLines"":445,""commentLines"":141},{""language"":""JSON5"",""blankLines"":0,""codeLines"":203,""commentLines"":60},{""language"":""Dockerfile"",""blankLines"":140,""codeLines"":445,""commentLines"":57},{""language"":""Mako"",""blankLines"":15,""codeLines"":48,""commentLines"":0},{""language"":""TOML"",""blankLines"":16,""codeLines"":177,""commentLines"":2}]","2024-11-08T07:31:17","1c5d72334c89fc8cb7ea7cadb8efd87a8a586aed",true,false,false,false,"{""Python"":2116414,""PLpgSQL"":1595539,""Jinja"":30278,""Shell"":25011,""Makefile"":24290,""Dockerfile"":22900,""CSS"":7552,""JavaScript"":6048,""HTML"":4372,""Mako"":2352,""Starlark"":56}","autorebase:once;autorebase:opt-in;backport 2.6;backport 2.7;backport 2.8;backport 2.9;backport master;breaking;bug;chore;configuration error;dependencies;docker;documentation;enhancement;javascript;pull request welcome;python;refactor;security;security fix;security vulnerability;tests","geomapfish;gis;ogc;python;webgis-framework"
"3985745","hasgeek/funnel",false,"4388","47","0","52","Python","main","GNU Affero General Public License v3.0","https://hasgeek.com/","17","46","32","19207","2011-06-02T06:48:00","2024-11-05T12:09:54","2024-11-05T12:09:56","370","118","1761","19","21373","156888","16796","[{""language"":""make"",""blankLines"":41,""codeLines"":149,""commentLines"":1},{""language"":""Jinja Template"",""blankLines"":541,""codeLines"":10106,""commentLines"":266},{""language"":""YAML"",""blankLines"":19,""codeLines"":732,""commentLines"":19},{""language"":""Markdown"",""blankLines"":263,""codeLines"":390,""commentLines"":0},{""language"":""PO File"",""blankLines"":2072,""codeLines"":3610,""commentLines"":3558},{""language"":""JavaScript"",""blankLines"":816,""codeLines"":10992,""commentLines"":406},{""language"":""Bourne Shell"",""blankLines"":13,""codeLines"":85,""commentLines"":6},{""language"":""Sass"",""blankLines"":1629,""codeLines"":10615,""commentLines"":611},{""language"":""SVG"",""blankLines"":2,""codeLines"":2072,""commentLines"":4},{""language"":""TOML"",""blankLines"":370,""codeLines"":7190,""commentLines"":189},{""language"":""Text"",""blankLines"":122,""codeLines"":2720,""commentLines"":0},{""language"":""Python"",""blankLines"":12686,""codeLines"":66439,""commentLines"":10539},{""language"":""CSS"",""blankLines"":946,""codeLines"":10737,""commentLines"":309},{""language"":""Cucumber"",""blankLines"":95,""codeLines"":626,""commentLines"":10},{""language"":""INI"",""blankLines"":16,""codeLines"":81,""commentLines"":0},{""language"":""HTML"",""blankLines"":0,""codeLines"":165,""commentLines"":0},{""language"":""JSON"",""blankLines"":0,""codeLines"":19197,""commentLines"":0},{""language"":""Ruby"",""blankLines"":0,""codeLines"":7,""commentLines"":3},{""language"":""SCSS"",""blankLines"":1690,""codeLines"":10775,""commentLines"":858},{""language"":""Dockerfile"",""blankLines"":29,""codeLines"":140,""commentLines"":15},{""language"":""reStructuredText"",""blankLines"":7,""codeLines"":10,""commentLines"":0},{""language"":""Mako"",""blankLines"":16,""codeLines"":50,""commentLines"":2}]","2024-11-05T12:09:52","a98f6f5b026707085f410d8a4c24d61a30542869",true,false,false,false,"{""Python"":3087934,""Jinja"":568222,""JavaScript"":397505,""SCSS"":284217,""CSS"":232254,""Gherkin"":45907,""Dockerfile"":7934,""Makefile"":6762,""HTML"":5142,""Shell"":4406,""Mako"":1813,""Ruby"":372}","bug;code-architecture;data-model;dependencies;devops;duplicate;enhancement;evaluate;feature;javascript;later;markdown;membership;notifications;parked;priority-hi;priority-low;priority-medium;python;sanity;spam;tests;ui;unmerged-feature;wontfix","flask;flask-application;hacktoberfest;python"
"3985752","slapos/slapos",false,"16466","296","0","21","Python","master",,"https://slapos.nexedi.com","11","38","41","95630","2011-05-31T11:46:00","2024-11-08T04:58:05","2024-11-08T12:47:26","0","0","4","0","10420","116946","22375","[{""language"":""JSON"",""blankLines"":6,""codeLines"":11688,""commentLines"":0},{""language"":""Diff"",""blankLines"":2387,""codeLines"":58602,""commentLines"":11943},{""language"":""Jinja Template"",""blankLines"":526,""codeLines"":3888,""commentLines"":128},{""language"":""Markdown"",""blankLines"":291,""codeLines"":694,""commentLines"":0},{""language"":""Text"",""blankLines"":58,""codeLines"":5315,""commentLines"":0},{""language"":""Lua"",""blankLines"":3,""codeLines"":11,""commentLines"":0},{""language"":""INI"",""blankLines"":3,""codeLines"":12,""commentLines"":0},{""language"":""JavaScript"",""blankLines"":5,""codeLines"":132,""commentLines"":167},{""language"":""Bourne Shell"",""blankLines"":13,""codeLines"":116,""commentLines"":23},{""language"":""TOML"",""blankLines"":4,""codeLines"":43,""commentLines"":0},{""language"":""Bourne Again Shell"",""blankLines"":368,""codeLines"":1755,""commentLines"":628},{""language"":""C"",""blankLines"":15,""codeLines"":53,""commentLines"":29},{""language"":""reStructuredText"",""blankLines"":632,""codeLines"":1362,""commentLines"":115},{""language"":""HTML"",""blankLines"":4,""codeLines"":71,""commentLines"":0},{""language"":""Python"",""blankLines"":6088,""codeLines"":32430,""commentLines"":9336},{""language"":""XML"",""blankLines"":17,""codeLines"":774,""commentLines"":6}]","2024-11-08T12:47:19","2e5c7422b3f273161e0acbf1262aed0f8a7b161b",false,false,false,false,"{""Python"":1703438,""Jinja"":164223,""Shell"":145542,""PLpgSQL"":25129,""JavaScript"":12778,""PHP"":7309,""C"":3132,""HTML"":2004,""Lua"":244}","dependencies",""
"3985913","tinkerforge/generators",false,"5585","2","0","32","Python","master",,"http://www.tinkerforge.com/en/doc/Software/API_Bindings.html","14","14","15","21739","2011-08-24T01:38:48","2024-10-25T12:34:19","2024-10-25T12:34:22","24","2","37","3","48768","202118","65000","[{""language"":""Go"",""blankLines"":246,""codeLines"":1427,""commentLines"":164},{""language"":""Ruby"",""blankLines"":260,""codeLines"":967,""commentLines"":184},{""language"":""make"",""blankLines"":63,""codeLines"":183,""commentLines"":23},{""language"":""TOML"",""blankLines"":0,""codeLines"":7,""commentLines"":0},{""language"":""C/C++ Header"",""blankLines"":886,""codeLines"":1980,""commentLines"":1999},{""language"":""Text"",""blankLines"":1055,""codeLines"":4416,""commentLines"":0},{""language"":""Properties"",""blankLines"":4,""codeLines"":10,""commentLines"":12},{""language"":""Pascal"",""blankLines"":288,""codeLines"":2349,""commentLines"":312},{""language"":""Maven"",""blankLines"":5,""codeLines"":32,""commentLines"":0},{""language"":""JavaScript"",""blankLines"":13451,""codeLines"":57274,""commentLines"":13328},{""language"":""Perl"",""blankLines"":668,""codeLines"":2046,""commentLines"":179},{""language"":""Rust"",""blankLines"":283,""codeLines"":1800,""commentLines"":429},{""language"":""Bourne Shell"",""blankLines"":57,""codeLines"":115,""commentLines"":38},{""language"":""reStructuredText"",""blankLines"":36,""codeLines"":111,""commentLines"":0},{""language"":""MATLAB"",""blankLines"":53,""codeLines"":146,""commentLines"":24},{""language"":""CSS"",""blankLines"":259,""codeLines"":1395,""commentLines"":40},{""language"":""Qt"",""blankLines"":0,""codeLines"":92,""commentLines"":0},{""language"":""HTML"",""blankLines"":40,""codeLines"":480,""commentLines"":33},{""language"":""JSON"",""blankLines"":0,""codeLines"":15507,""commentLines"":0},{""language"":""Dockerfile"",""blankLines"":19,""codeLines"":43,""commentLines"":19},{""language"":""Java"",""blankLines"":1449,""codeLines"":7694,""commentLines"":1285},{""language"":""C++"",""blankLines"":394,""codeLines"":1164,""commentLines"":87},{""language"":""CMake"",""blankLines"":29,""codeLines"":107,""commentLines"":20},{""language"":""Markdown"",""blankLines"":78,""codeLines"":233,""commentLines"":0},{""language"":""Snakemake"",""blankLines"":0,""codeLines"":12,""commentLines"":0},{""language"":""PHP"",""blankLines"":371,""codeLines"":1062,""commentLines"":329},{""language"":""XML"",""blankLines"":25,""codeLines"":367,""commentLines"":29},{""language"":""Arduino Sketch"",""blankLines"":35,""codeLines"":116,""commentLines"":46},{""language"":""MSBuild script"",""blankLines"":0,""codeLines"":11,""commentLines"":0},{""language"":""C#"",""blankLines"":430,""codeLines"":1960,""commentLines"":352},{""language"":""Visual Basic .NET"",""blankLines"":20,""codeLines"":81,""commentLines"":12},{""language"":""Python"",""blankLines"":26019,""codeLines"":91733,""commentLines"":44954},{""language"":""C"",""blankLines"":2240,""codeLines"":7165,""commentLines"":1088},{""language"":""Diff"",""blankLines"":5,""codeLines"":33,""commentLines"":14}]","2024-10-25T12:34:16","0d500065f4724398c1012488e3595761e981c3f2",true,false,false,false,"{""Python"":6075521,""JavaScript"":3563666,""C"":478869,""Java"":414028,""Rust"":111124,""Pascal"":86464,""C#"":69520,""Perl"":65909,""Go"":54840,""PHP"":51155,""C++"":50989,""CSS"":50750,""Ruby"":41363,""HTML"":26218,""Mathematica"":10559,""CMake"":7320,""Makefile"":6093,""MATLAB"":6092,""Shell"":5586,""Visual Basic .NET"":4082,""Dockerfile"":3106}","",""
"3985924","locustio/locust",false,"5438","143","129","2989","Python","master","MIT License","https://locust.cloud","426","25017","270","28098","2011-02-17T11:08:03","2024-11-09T07:28:06","2024-11-10T07:04:02","1682","16","1246","7","8987","34126","4299","[{""language"":""TOML"",""blankLines"":30,""codeLines"":189,""commentLines"":4},{""language"":""CSV"",""blankLines"":0,""codeLines"":2,""commentLines"":0},{""language"":""HTML"",""blankLines"":9,""codeLines"":94,""commentLines"":1},{""language"":""Text"",""blankLines"":0,""codeLines"":17,""commentLines"":0},{""language"":""Python"",""blankLines"":5367,""codeLines"":21664,""commentLines"":3186},{""language"":""CSS"",""blankLines"":0,""codeLines"":8,""commentLines"":1},{""language"":""TypeScript"",""blankLines"":1142,""codeLines"":6840,""commentLines"":32},{""language"":""Dockerfile"",""blankLines"":10,""codeLines"":50,""commentLines"":17},{""language"":""JSON"",""blankLines"":0,""codeLines"":239,""commentLines"":0},{""language"":""reStructuredText"",""blankLines"":1492,""codeLines"":2205,""commentLines"":928},{""language"":""HCL"",""blankLines"":15,""codeLines"":76,""commentLines"":3},{""language"":""Bourne Shell"",""blankLines"":32,""codeLines"":122,""commentLines"":0},{""language"":""INI"",""blankLines"":6,""codeLines"":46,""commentLines"":7},{""language"":""JavaScript"",""blankLines"":24,""codeLines"":151,""commentLines"":75},{""language"":""make"",""blankLines"":11,""codeLines"":33,""commentLines"":2},{""language"":""YAML"",""blankLines"":65,""codeLines"":423,""commentLines"":43},{""language"":""Protocol Buffers"",""blankLines"":4,""codeLines"":11,""commentLines"":0},{""language"":""Markdown"",""blankLines"":742,""codeLines"":1583,""commentLines"":0},{""language"":""Sass"",""blankLines"":38,""codeLines"":373,""commentLines"":0}]","2024-11-09T07:28:06","6b40e2649ad57ce3340219b7fb678724b29652c3",true,false,false,false,"{""Python"":1036860,""TypeScript"":225516,""JavaScript"":17567,""Sass"":10400,""HTML"":3201,""Dockerfile"":1642,""Makefile"":1458,""Shell"":478}","bug;cantfix;dependencies;documentation;duplicate;feature request;hacktoberfest;invalid;needs reproducing;no-changelog;non-critical;priority;stale;waiting on contributor;web interface;windows;wontfix","benchmarking;hacktoberfest;http;load-generator;load-test;load-testing;load-tests;locust;performance;performance-testing;python"
"3985931","tweepy/tweepy",false,"3099","2","31","4607","Python","master","MIT License","https://www.tweepy.org","266","10396","198","13857","2009-07-06T04:15:34","2024-08-01T05:55:26","2024-08-02T08:42:03","1283","71","575","29","7089","87672","14558","[{""language"":""DOS Batch"",""blankLines"":8,""codeLines"":26,""commentLines"":1},{""language"":""PO File"",""blankLines"":3062,""codeLines"":12687,""commentLines"":4161},{""language"":""JSON"",""blankLines"":0,""codeLines"":6773,""commentLines"":0},{""language"":""JavaScript"",""blankLines"":1,""codeLines"":10,""commentLines"":8},{""language"":""YAML"",""blankLines"":7,""codeLines"":60180,""commentLines"":0},{""language"":""Markdown"",""blankLines"":145,""codeLines"":1115,""commentLines"":0},{""language"":""reStructuredText"",""blankLines"":786,""codeLines"":916,""commentLines"":1534},{""language"":""make"",""blankLines"":4,""codeLines"":9,""commentLines"":7},{""language"":""Text"",""blankLines"":2,""codeLines"":8,""commentLines"":0},{""language"":""Python"",""blankLines"":3074,""codeLines"":5948,""commentLines"":8847}]","2024-02-06T05:33:45","91a41c6e1c955d278c370d51d5cf43b05f7cd979",false,false,false,false,"{""Python"":624974}","api;blocked;bug;dependency;discussion;documentation;duplicate;feature;feature request;improvement;invalid;need follow-up;no reproduction;off-topic;question;rfc;stale;task;tests;unconfirmed bug;won't fix","python;twitter;twitter-api"
